sample,adc,filtered,lead_off
615,6037,-77.72,0
616,4970,-147.79,0
617,4066,-210.94,0
618,3794,-266.34,0
619,4329,-310.07,0
620,5397,-334.52,0
621,6501,-331.46,0
622,7007,-296.54,0
623,6671,-232.71,0
624,5685,-150.86,0
625,4613,-67.12,0
626,4021,2.59,0
627,4196,48.27,0
628,5022,68.53,0
629,6096,68.95,0
630,6790,57.75,0
631,6699,41.70,0
632,5885,23.71,0
633,4799,2.97,0
634,4045,-22.48,0
635,3995,-52.11,0
636,4655,-81.17,0
637,5718,-102.37,0
638,6614,-109.84,0
639,6742,-102.45,0
640,6093,-85.16,0
641,4970,-68.10,0
642,4030,-62.85,0
643,3747,-76.96,0
644,4284,-109.53,0
645,5367,-150.67,0
646,6432,-185.52,0
647,6860,-200.78,0
648,6427,-190.76,0
649,5377,-160.38,0
650,4325,-123.08,0
651,3835,-94.04,0
652,4156,-82.09,0
653,5122,-85.28,0
654,6260,-92.68,0
655,6921,-91.07,0
656,6755,-72.24,0
657,5878,-37.52,0
658,4740,2.87,0
659,3967,35.19,0
660,3932,49.19,0
661,4636,42.65,0
662,5745,21.23,0
663,6622,-5.32,0
664,6778,-28.06,0
665,6124,-42.58,0
666,5018,-50.25,0
667,4076,-56.38,0
668,3760,-66.27,0
669,4235,-81.74,0
670,5252,-100.34,0
671,6286,-117.31,0
672,6741,-128.38,0
673,6372,-131.85,0
674,5403,-129.28,0
675,4426,-124.29,0
676,3963,-119.65,0
677,4287,-114.21,0
678,5231,-102.39,0
679,6331,-77.07,0
680,6952,-34.14,0
681,6769,23.82,0
682,5889,86.83,0
683,4779,140.59,0
684,4060,172.33,0
685,4113,176.73,0
686,4887,158.60,0
687,6027,130.80,0
688,6888,108.38,0
689,6985,102.18,0
690,6270,114.41,0
691,5130,138.08,0
692,4180,160.67,0
693,3871,170.35,0
694,4349,161.25,0
695,5359,134.83,0
696,6368,97.58,0
697,6800,57.43,0
698,6436,20.80,0
699,5513,-8.62,0
700,4585,-29.11,0
701,4164,-38.74,0
702,4494,-33.61,0
703,5397,-8.71,0
704,6408,38.70,0
705,6926,105.04,0
706,6636,178.65,0
707,5696,241.55,0
708,4623,274.94,0
709,3997,266.95,0
710,4125,219.00,0
711,4937,146.81,0
712,6058,74.43,0
713,6851,24.60,0
714,6901,9.97,0
715,6182,29.19,0
716,5077,68.88,0
717,4206,110.50,0
718,3981,138.75,0
719,4522,147.22,0
720,5557,138.85,0
721,6525,121.96,0
722,6856,104.97,0
723,6383,92.34,0
724,5373,83.09,0
725,4433,72.90,0
726,4071,58.64,0
727,4482,42.75,0
728,5499,33.87,0
729,6606,43.09,0
730,7211,78.11,0
731,6987,138.71,0
732,6061,215.47,0
733,5000,292.67,0
734,4375,354.54,0
735,4484,392.18,0
736,5260,406.94,0
737,6341,408.04,0
738,7083,406.43,0
739,7085,408.85,0
740,6340,414.75,0
741,5241,417.46,0
742,4414,408.80,0
743,4284,384.83,0
744,4924,349.49,0
745,6035,313.75,0
746,7016,290.82,0
747,7316,290.17,0
748,6763,312.99,0
749,5643,350.92,0
750,4555,388.84,0
751,4051,410.81,0
752,4376,406.39,0
753,5332,374.40,0
754,6431,322.30,0
755,7012,262.45,0
756,6761,206.90,0
757,5800,162.86,0
758,4660,130.75,0
759,3964,105.87,0
760,4053,82.61,0
761,4862,58.47,0
762,6000,35.27,0
763,6803,17.36,0
764,6854,8.58,0
765,6119,9.52,0
766,5009,16.68,0
767,4172,24.26,0
768,4040,27.67,0
769,4687,26.79,0
770,5811,26.39,0
771,6762,33.39,0
772,7017,52.59,0
773,6430,82.93,0
774,5312,116.28,0
775,4312,140.38,0
776,3919,144.79,0
777,4334,126.72,0
778,5325,92.75,0
779,6391,55.42,0
780,6891,26.99,0
781,6551,13.71,0
782,5542,13.03,0
783,4435,15.22,0
784,3794,8.87,0
785,3929,-12.62,0
786,4767,-47.56,0
787,5896,-87.44,0
788,6675,-121.58,0
789,6727,-141.94,0
790,6098,-145.80,0
791,5286,-134.42,0
792,4918,-107.97,0
793,5374,-59.06,0
794,6629,30.48,0
795,8291,186.31,0
796,9775,432.43,0
797,10584,781.33,0
798,10585,1228.32,0
799,10100,1752.65,0
800,9608,2324.22,0
801,9384,2911.49,0
802,9487,3484.67,0
803,9783,4011.52,0
804,9827,4450.17,0
805,9132,4746.42,0
806,7633,4839.53,0
807,5654,4675.66,0
808,3859,4225.10,0
809,2836,3497.81,0
810,2829,2550.67,0
811,3711,1481.75,0
812,4981,412.09,0
813,5968,-538.85,0
814,6160,-1276.52,0
815,5564,-1747.46,0
816,4650,-1945.23,0
817,4018,-1904.90,0
818,4097,-1688.45,0
819,4907,-1367.01,0
820,6124,-1005.86,0
821,7092,-655.71,0
822,7316,-350.21,0
823,6677,-108.25,0
824,5481,61.80,0
825,4404,158.50,0
826,3937,185.97,0
827,4283,153.90,0
828,5165,76.93,0
829,6190,-27.82,0
830,6639,-143.74,0
831,6285,-257.25,0
832,5344,-359.26,0
833,4421,-445.02,0
834,3973,-511.30,0
835,4295,-553.07,0
836,5245,-563.09,0
837,6367,-535.12,0
838,7006,-468.67,0
839,6823,-372.48,0
840,5886,-264.82,0
841,4697,-169.73,0
842,3895,-109.78,0
843,3862,-98.02,0
844,4589,-133.13,0
845,5737,-200.38,0
846,6651,-277.77,0
847,6820,-344.15,0
848,6182,-386.18,0
849,5061,-401.60,0
850,4160,-397.48,0
851,3935,-384.31,0
852,4510,-369.11,0
853,5613,-351.97,0
854,6686,-327.68,0
855,7143,-290.44,0
856,6744,-238.74,0
857,5727,-177.66,0
858,4663,-117.67,0
859,4140,-69.95,0
860,4427,-41.04,0
861,5368,-29.68,0
862,6493,-28.04,0
863,7173,-26.10,0
864,7035,-16.74,0
865,6175,1.04,0
866,5048,22.16,0
867,4345,38.87,0
868,4385,45.97,0
869,5150,44.56,0
870,6275,41.56,0
871,7131,45.56,0
872,7250,61.68,0
873,6569,88.49,0
874,5455,118.16,0
875,4519,140.11,0
876,4251,146.29,0
877,4788,135.23,0
878,5863,112.69,0
879,6873,88.62,0
880,7306,72.44,0
881,6921,68.99,0
882,5971,77.25,0
883,4943,92.25,0
884,4423,108.64,0
885,4669,123.55,0
886,5537,137.15,0
887,6579,150.87,0
888,7178,164.80,0
889,6983,176.05,0
890,6083,178.83,0
891,4981,166.54,0
