sample,adc,filtered,lead_off
872,5252,-289.94,0
873,5296,-275.75,0
874,5311,-259.88,0
875,5293,-243.37,0
876,5253,-227.38,0
877,5215,-212.98,0
878,5191,-200.93,0
879,5185,-191.69,0
880,5189,-185.64,0
881,5184,-183.37,0
882,5163,-185.92,0
883,5129,-194.52,0
884,5113,-209.89,0
885,5154,-231.13,0
886,5270,-254.54,0
887,5519,-272.92,0
888,5915,-275.44,0
889,6431,-247.90,0
890,7047,-173.56,0
891,7688,-34.63,0
892,8333,185.13,0
893,8989,497.31,0
894,9638,906.13,0
895,10308,1406.93,0
896,10932,1986.37,0
897,11010,2622.68,0
898,11003,3283.76,0
899,10959,3925.56,0
900,10515,4496.38,0
901,9440,4944.39,0
902,7926,5220.07,0
903,6341,5273.98,0
904,4961,5059.06,0
905,4001,4543.09,0
906,3435,3726.59,0
907,3197,2656.14,0
908,3197,1424.63,0
909,3360,157.19,0
910,3628,-1012.38,0
911,3961,-1966.68,0
912,4305,-2624.93,0
913,4633,-2954.01,0
914,4910,-2969.56,0
915,5097,-2728.11,0
916,5185,-2312.78,0
917,5193,-1816.34,0
918,5159,-1324.70,0
919,5116,-903.94,0
920,5092,-593.01,0
921,5094,-402.87,0
922,5112,-321.51,0
923,5124,-322.51,0
924,5118,-374.58,0
925,5083,-449.17,0
926,5043,-524.92,0
927,5012,-588.64,0
928,5003,-633.94,0
929,5027,-658.97,0
930,5086,-664.64,0
931,5134,-653.67,0
932,5161,-630.20,0
933,5157,-599.65,0
934,5130,-568.04,0
935,5109,-540.70,0
936,5113,-520.72,0
937,5142,-507.90,0
938,5198,-499.05,0
939,5249,-489.54,0
940,5279,-475.47,0
941,5283,-455.50,0
942,5260,-431.28,0
943,5217,-406.47,0
944,5212,-384.86,0
945,5215,-368.60,0
946,5243,-357.30,0
947,5294,-348.65,0
948,5334,-339.90,0
949,5346,-329.25,0
950,5330,-316.65,0
951,5301,-303.60,0
952,5281,-292.03,0
953,5277,-283.04,0
954,5309,-276.12,0
955,5365,-269.36,0
956,5418,-260.39,0
957,5439,-247.56,0
958,5422,-230.90,0
959,5386,-212.34,0
960,5345,-194.89,0
961,5339,-181.26,0
962,5358,-172.50,0
963,5417,-167.52,0
964,5472,-163.62,0
965,5515,-157.82,0
966,5514,-148.25,0
967,5486,-134.90,0
968,5451,-119.52,0
969,5442,-104.48,0
970,5461,-91.39,0
971,5516,-80.24,0
972,5573,-69.42,0
973,5626,-56.82,0
974,5641,-41.05,0
975,5626,-22.27,0
976,5590,-2.14,0
977,5570,17.03,0
978,5577,33.42,0
979,5616,46.65,0
980,5677,57.87,0
981,5728,69.08,0
982,5754,81.99,0
983,5742,97.08,0
984,5710,113.35,0
985,5676,128.90,0
986,5664,141.93,0
987,5685,151.66,0
988,5740,158.67,0
989,5795,164.57,0
990,5838,171.17,0
991,5849,179.69,0
992,5825,190.26,0
993,5799,202.12,0
994,5786,214.16,0
995,5801,225.71,0
996,5850,236.89,0
997,5918,248.54,0
998,5968,261.69,0
999,5983,276.91,0
1000,5956,293.81,0
1001,5915,310.92,0
1002,5877,326.21,0
1003,5870,337.90,0
1004,5895,345.25,0
1005,5935,348.73,0
1006,5978,349.62,0
1007,6000,349.26,0
1008,5992,348.50,0
1009,5969,347.65,0
1010,5955,346.78,0
